Game,Notes,Console,Hours,Date Finished,Date Reviewed,Score,Review
Call of Duty 4: Modern Warfare,,PS3,7,2026-06-21,2026-07-09,8,reviews/call of duty 4 - modern warfare.html
Kingdom Hearts,Final Mix,PS3,24,2025-05-02,2025-05-02,8,reviews/kingdom hearts.html
Parasite Eve,PSOne Classic,PS3,10,2026-05-06,,8,-
R4: Ridge Racer Type 4,PSOne Classic,PS3,1.5,2026-04-12,2026-05-07,9,reviews/r4 - ridge racer type 4.html
Ristar,Sonic's Ultimate Genesis Collection,PS3,2.5,2026-06-23,,6,-
Streets of Rage,Sonic's Ultimate Genesis Collection,PS3,1.5,2025-02-27,,6,-
Persona 4: Dancing All Night,Endless Night Collection,PS4,9,2026-06-29,,7,-
Ratchet and Clank,2016 Reboot,PS4,10,2026-05-12,,4,-
Untitled Goose Game,,PS4,3,2026-05-31,,7,-
Superhot VR,,Quest,2,2024-08-09,,9,-
Ace Attorney Investigations 2: Prosecutor's Gambit,Investigations Collection,Switch,34.5,2025-03-29,,10,-
Bowser's Fury,,Switch,5,2024-01-24,,8,-
Captain Toad: Treasure Tracker,,Switch,7,2024-04-22,,7,-
Clustertruck,,Switch,3.5,2024-04-21,2024-04-21,5,reviews/clustertruck.html
Crash Bandicoot,N.Sane Trilogy,Switch,6,2024-01-22,2024-01-23,3,reviews/crash bandicoot.html
Crash Bandicoot 2: Cortex Strikes Back,N.Sane Trilogy,Switch,6,2025-05-11,,3,-
Cuphead,,Switch,10.5,-,,9,-
Cuphead: The Delicious Last Course,DLC,Switch,3.5,2024-11-02,,9,-
Demon Throttle,,Switch,1.5,2025-11-24,,6,-
Disc Room,,Switch,3,2025-05-27,2026-01-13,6,reviews/disc room.html
Donkey Kong Country,Switch Online (SNES),Switch,4,2024-02-20,,8,-
Donkey Kong Country 2: Diddy's Kong Quest,Switch Online (SNES),Switch,5,2024-06-04,,9,-
Gravity Circuit,,Switch,5,2025-06-30,,8,-
Hades,,Switch,23,-,,10,-
Inside,,Switch,3.5,2024-06-02,,9,-
Kirby and the Forgotten Land,,Switch,10.5,-,,9,-
Kirby Star Allies,,Switch,5.5,-,2024-02-21,6,reviews/kirby star allies.html
Kirby's Adventure,Switch Online (NES),Switch,3.5,2026-08-11,,7,-
Kirby's Dream Land,Switch Online (GB),Switch,1,2024-02-25,,5,-
Kirby's Dream Land 2,Switch Online (GB),Switch,2.5,2024-03-13,,7,-
Kirby's Dream Land 3,Switch Online (SNES),Switch,3.5,2024-06-18,,7,-
Kirby's Return To Dream Land Deluxe,,Switch,7,-,,8,-
Klonoa: Door to Phantomile,Phantasy Reverie Series,Switch,4.5,-,,3,-
Klonoa: Empire of Dreams,Switch Online (GBA),Switch,5.5,2026-06-06,,7,-
LOVE,,Switch,1,2025-06-23,,6,-
LOVE 2: kuso,,Switch,1,2025-06-23,,6,-
LOVE 3,,Switch,1,2025-06-24,,7,-
Luigi's Mansion,Switch Online (GCN),Switch,6.5,2026-06-16,,7,-
Mario Kart 8 Deluxe,,Switch,6,-,,9,-
Mario Kart 8 Deluxe: Booster Course Pass - Wave 1,DLC,Switch,1,-,,5,-
Mario Kart 8 Deluxe: Booster Course Pass - Wave 2,DLC,Switch,1,-,,6,-
Mario Kart 8 Deluxe: Booster Course Pass - Wave 3,DLC,Switch,1,-,,7,-
Mario Kart 8 Deluxe: Booster Course Pass - Wave 4,DLC,Switch,1,-,,7,-
Mario Kart 8 Deluxe: Booster Course Pass - Wave 5,DLC,Switch,1,-,,7,-
Mario Kart 8 Deluxe: Booster Course Pass - Wave 6,DLC,Switch,1,-,,7,-
Mega Man,Legacy Collection,Switch,3,2025-05-07,2025-05-07,3,reviews/mega man.html
Metroid: Zero Mission,Switch Online (GBA),Switch,4.5,2026-08-08,,9,-
New Super Luigi U,NSMBU Deluxe,Switch,4.5,-,,5,-
New Super Mario Bros U,NSMBU Deluxe,Switch,9.5,-,,4,-
Ninja Gaiden: Ragebound,,Switch,6,2026-04-02,,8,-
Pac-Man World Re-Pac,,Switch,5.5,2024-01-02,,7,-
Pepper Grinder,,Switch,3.5,2024-12-31,,6,-
Persona 4 Golden,,Switch,67.5,2026-01-19,2026-01-23,8,reviews/persona 4 golden.html
Pikmin 1,,Switch,8,2026-06-10,,9,-
Pokemon Legends: Arceus,,Switch,25.5,-,,8,-
Pokemon Scarlet,,Switch,32.5,-,2024-01-22,7,reviews/pokemon scarlet.html
Pokemon Sword,,Switch,25.5,-,2024-01-24,4,reviews/pokemon sword.html
Princess Peach Showtime,,Switch,7.5,2024-08-08,,5,-
Punch-Out!!,Switch Online (NES),Switch,3,2024-06-01,,5,-
Shadow Generations,Sonic X Shadow Generations,Switch,6,2025-04-12,,9,-
Shantae: Half-Genie Hero,,Switch,7.5,-,,6,-
Silent Hope,,Switch,23,2024-05-27,,4,-
Smile For Me,,Switch,3.5,2024-12-23,,8,-
Sonic Forces,,Switch,4,-,,2,-
Sonic Generations,Sonic X Shadow Generations,Switch,5.5,2024-12-08,,8,-
Sonic Mania Plus,,Switch,5.5,-,,8,-
Sonic Superstars,,Switch,5.5,2024-01-11,,5,-
Splatoon 2,,Switch,8,-,,7,-
Splatoon 2: Octo Expansion DLC,DLC,Switch,8,-,,9,-
Splatoon 3,,Switch,8.5,2024-03-17,,8,-
Splatoon 3: Side Order,DLC,Switch,4.5,2025-02-13,2025-04-16,8,reviews/splatoon 3 - side order.html
