Game,Notes,Console,Hours
Tomb Raider III,2024 Remaster,PC,20.5
Middle-earth: Shadow of War,,PC,21
Omori,,PC,21.5
Fallout 3,GOTY Edition,PC,22
Chrono Trigger,,PC,23
Stellar Interface,,PC,23
Disco Elysium: The Final Cut,,PC,23.5
Mass Effect 2,Legendary Edition,PC,24.5
Mass Effect 3,Legendary Edition,PC,24.5
Afterimage,,PC,25
Danganronpa: Trigger Happy Havoc,,PC,25
Noita,,PC,25
428: Shibuya Scramble,,PC,26
STEINS;GATE,,PC,26.5
XCOM: Enemy Unknown,,PC,26.5
Fallout: New Vegas,Ultimate Edition,PC,27
Grand Theft Auto IV,,PC,27
N++,,PC,27.5
Tom Clancy's Ghost Recon Wildlands,,PC,27.5
Atelier Ryza: Ever Darkness & the Secret Hideout,,PC,28
The House in Fata Morgana,,PC,28.5
Kindred Spirits on the Roof,,PC,29
Subnautica,,PC,30
Fallout 2,,PC,30.5
Grand Theft Auto: San Andreas,Definitive Edition,PC,30.5
Grand Theft Auto V,Enhanced,PC,32
XCOM 2,,PC,33
FINAL FANTASY IX,,PC,38
The Witcher 3: Wild Hunt,,PC,51.5
Cozy Grove,,PC,73
A Cat and His Boy,,PC,
A Date With Death: Beyond the Bet,DLC,PC,
Cthulhu Mythos ADV Lunatic Whispers,,PC,
Cthulhu Mythos ADV The Isle Of Ubohoth,,PC,
Heartstop Tour,Free,PC,
Just Kiss Her Already!,Free,PC,
My Dear Prince,,PC,
My Nemesis and Hero,,PC,
Nophenia,,PC,
SCHEME!!,"Shortened title, Free",PC,
Symbiosis,Free,PC,
Stuart Little 2,,PS1,3
Tony Hawk's Pro Skater,,PS1,4.5
Croc: Legend of the Gobbos,,PS1,6
Rayman,,PS1,10
Metal Gear Solid,,PS1,11.5
Grandia,,PS1,42
Devil Kings,,PS2,3
Onimusha: Warlords,,PS2,4.5
Call of Duty 2: Big Red One,,PS2,7
Sly Cooper and the Thievus Raccoonus,,PS2,7
Call of Duty 3,,PS2,8
Ty the Tasmanian Tiger,,PS2,9
Onimusha 2: Samurai's Destiny,,PS2,9.5
Jak & Daxter: The Precursor Legacy,,PS2,10
Ratchet & Clank: Up Your Arsenal,,PS2,11.5
Jak 3,,PS2,12
Ratchet and Clank,,PS2,12
Ratchet & Clank: Going Commando,,PS2,13
Jak II,,PS2,16.5
Radiata Stories,,PS2,30
Dark Cloud,,PS2,31
Grandia II,,PS2,31
Final Fantasy XII,,PS2,61
Golden Axe,Sonic's Ultimate Genesis Collection,PS3,1
Golden Axe II,Sonic's Ultimate Genesis Collection,PS3,1
Alex Kidd in the Enchanted Castle,Sonic's Ultimate Genesis Collection,PS3,1.5
Golden Axe III,Sonic's Ultimate Genesis Collection,PS3,1.5
Streets of Rage 2,Sonic's Ultimate Genesis Collection,PS3,1.5
Vectorman 2,Sonic's Ultimate Genesis Collection,PS3,1.5
Comix Zone,Sonic's Ultimate Genesis Collection,PS3,2
Streets of Rage 3,Sonic's Ultimate Genesis Collection,PS3,2
Decap Attack,Sonic's Ultimate Genesis Collection,PS3,2.5
Shinobi III: Return of the Ninja Master,Sonic's Ultimate Genesis Collection,PS3,2.5
Sonic the Hedgehog: Spinball,Sonic's Ultimate Genesis Collection,PS3,2.5
Vectorman,Sonic's Ultimate Genesis Collection,PS3,2.5
Dynamite Headdy,Sonic's Ultimate Genesis Collection,PS3,3
Sonic 3D Blast,Sonic's Ultimate Genesis Collection,PS3,3.5
Ecco: The Tides of Time,Sonic's Ultimate Genesis Collection,PS3,4
Kid Chameleon,Sonic's Ultimate Genesis Collection,PS3,4.5
Echo Night,PSOne Classic,PS3,5
Ecco the Dolphin,Sonic's Ultimate Genesis Collection,PS3,5.5
Golden Axe Warrior,Sonic's Ultimate Genesis Collection,PS3,5.5
Beyond Oasis,Sonic's Ultimate Genesis Collection,PS3,6
Call of Duty: Ghosts,,PS3,6
Call of Duty: Modern Warfare 3,,PS3,6
Silent Hill 3,HD Remaster,PS3,6
Spec Ops: The Line,,PS3,6
Call of Duty: Modern Warfare 2,,PS3,6.5
Ico,HD Remaster,PS3,6.5
Red Dead Redemption: Undead Nightmare,,PS3,6.5
Call of Duty: Advanced Warfare,,PS3,7
Call of Duty: Black Ops,,PS3,7
Call of Duty: Black Ops II,,PS3,7
Call of Duty: World at War,,PS3,7
Silent Hill,PSOne Classic,PS3,7
Silent Hill 2,HD Remaster,PS3,8
Uncharted: Drake's Fortune,,PS3,8
God of War,HD Remaster,PS3,9
LittleBigPlanet,,PS3,9
Uncharted 3: Drake's Deception,,PS3,9
Shadow of the Colossus,HD Remaster,PS3,9.5
Uncharted 2: Among Thieves,,PS3,10.5
Dead Space,,PS3,11
Ninja Gaiden Σ 2,,PS3,11
Dishonored,,PS3,12
God of War II,HD Remaster,PS3,12
Assassin's Creed Revelations,,PS3,12.5
Threads of Fate,PSOne Classic,PS3,12.5
Burnout Paradise,,PS3,13
God Hand,PS2 Classic,PS3,13
Metal Gear Solid 2: Sons of Liberty,HD Edition,PS3,13
Sonic Unleashed,,PS3,13
Ninja Gaiden Σ,,PS3,13.5
Assassin's Creed,,PS3,15
Assassin's Creed Brotherhood,,PS3,15
inFamous,,PS3,15
Phantasy Star,Sonic's Ultimate Genesis Collection,PS3,15.5
